Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S108863542,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2019-09-02,,Historical,,1,,,,,,Roberto C
S108866145,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2021-02-10,,Historical,,1,,,,,,Roberto C  centro visitantes
S81628216,pomba-asa-branca,Patagioenas picazuro,1912,2,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2021-02-12,07:30 AM,eBird - Traveling Count,40,1,.8,,4,,,"Manhã nublada pós chuva. Equipe LaBio se locomovendo nas áreas mais abertas, de construções e estacionamento, interligadas a áreas de cerrado stricto sensu."
S108925204,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L18843819,Parque Nacional de Brasília-Barragem,-15.680029,-47.9514848,2019-01-02,,Historical,,1,,,,,,"Lista de Mackinnon: Autor: Isadora Turella, Ambiente: Natural; Local: PNB-barragem."
S108970083,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L18832055,Parque Olhos D'Água,-15.744592,-47.8845418,2018-05-31,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Ilza Fujiyama; Ambiente: urbano; Local: Olhos d'água
S108852461,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L18832055,Parque Olhos D'Água,-15.744592,-47.8845418,2019-04-15,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Turella; Ambiente: Urbano; Local: Parque Olhos D'Água
S225655410,pomba-asa-branca,Patagioenas picazuro,1912,1,BR-DF,Brasília,L42656429,"Reserva do CO, cerrado cerradão",-15.7665949,-47.8557141,2025-04-09,08:30 AM,eBird - Traveling Count,25,1,.2,,2,,,Marília Lima e Roberto Cavalcanti
S225650663,pomba-asa-branca,Patagioenas picazuro,1912,1,BR-DF,Brasília,L42655531,"Reserva ecológica do CO, cerrado cerradão",-15.7644677,-47.8571105,2025-04-09,07:25 AM,eBird - Traveling Count,25,1,.3,,2,,,Marília Lima e Roberto Cavalcanti
S223746213,pomba-asa-branca,Patagioenas picazuro,1912,1,BR-DF,Brasília,L42262223,UnB CO caiaque,-15.7603449,-47.8595451,2025-04-04,05:00 PM,eBird - Traveling Count,40,1,1.,,2,,,Helena Falkenberg e Roberto Cavalcanti
S223747524,pomba-asa-branca,Patagioenas picazuro,1912,1,BR-DF,Brasília,L42262478,"UnB CO, campo de futebol",-15.7616794,-47.85845,2025-04-04,04:30 PM,eBird - Traveling Count,30,1,.3,,2,,,Helena Falkenberg e Roberto Cavalcanti
S223742319,pomba-asa-branca,Patagioenas picazuro,1912,1,BR-DF,Brasília,L42261292,UnB Praça Maior,-15.7619203,-47.8676025,2025-03-25,04:30 PM,eBird - Traveling Count,30,1,.5,,2,,,Marília Lima e Roberto Cavalcanti
S223743557,pomba-asa-branca,Patagioenas picazuro,1912,1,BR-DF,Brasília,L42261606,"UnB praça maior, icc",-15.7629071,-47.8686566,2025-03-25,05:00 PM,eBird - Traveling Count,30,1,.5,,2,,,Marília Lima e Roberto Cavalcanti
S108931280,rolinha-roxa,Columbina talpacoti,2230,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2018-11-05,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Machado; Ambiente: urbano; Local: CO.
S108967784,rolinha-roxa,Columbina talpacoti,2230,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2019-10-02,,Historical,,0,,,,,,Lista de Mackinnon: Autor: Susan Silva; Ambiente: urbano; Local: CO-sensu strictu.
S108968162,rolinha-roxa,Columbina talpacoti,2230,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2019-10-02,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Livia Viera; Ambiente: urbano; Local: CO.
S108968323,rolinha-roxa,Columbina talpacoti,2230,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2019-12-06,,Historical,,0,,,,,,Lista de Mackinnon: Autor: Beatriz; Ambiente: urbano; Local: CO.
S115757906,rolinha-roxa,Columbina talpacoti,2230,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-07-25,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: urbano; Local: Centro Olímpico UnB
